h,w,time,iterations
5,4,3.34929,20954
5,4,3.11916,19394
5,4,1.61825,10092
5,4,0.0488274,315
5,4,2.5144,15890
5,4,1.28825,8130
5,4,7.81522,49190
5,4,0.0245096,153
5,4,0.920009,5802
5,4,4.69054,29356
5,4,5.37185,33794
5,4,5.37803,33723
5,4,0.312867,1951
5,4,0.186308,1165
5,4,1.03856,6556
5,4,6.16521,38703
5,4,3.4365,21604
5,4,0.365953,2324
5,4,3.83182,24099
5,4,12.5202,78520
5,4,2.4932,15587
5,4,2.59749,16215
5,4,4.00924,25051
5,4,3.14715,19840
5,4,6.13086,38584
5,4,0.189825,1181
5,4,0.748969,4777
5,4,2.55674,15978
5,5,2.56809,15805
5,5,0.594687,3660
5,5,9.66899,59328
5,5,4.24415,25961
5,5,0.0111039,66
5,5,5.52232,33835
5,5,8.85525,54195
5,5,5.37483,32819
5,5,3.26012,20068
5,5,13.6849,83836
5,5,1.70851,10465
5,5,7.01101,43174
5,5,6.58593,40135
5,5,6.33174,38717
5,5,7.03569,43141
5,5,3.91837,23817
5,5,7.13891,43749
5,5,2.86421,17557
5,5,7.32335,44961
5,5,6.61914,40744
5,5,5.47974,33651
5,5,8.62329,52880
5,5,6.8193,41832
5,5,6.94616,42573
5,5,0.169122,1033
5,5,22.8231,139568
5,5,3.7353,22816
5,5,0.0268883,160
5,5,1.80373,11186
5,5,0.290103,1806
5,5,4.5867,28224
5,5,9.78164,59994
5,5,7.69111,47288
5,5,4.79434,29449
5,5,8.84335,54311
5,5,10.2735,62935
5,5,0.202953,1253
5,5,3.692,22637
5,5,3.3469,20437
5,5,6.86517,42289
5,5,7.43399,45628
5,5,4.45691,27364
5,5,4.65538,28652
5,5,8.51274,52207
5,5,0.781766,4804
5,5,0.164693,984
5,5,0.717345,4389
5,5,0.474204,2931
5,5,8.97982,54955
5,5,5.99155,36468
6,2,1.0914,7158
6,2,8.43109,54475
6,2,0.57218,3705
6,2,3.37964,21590
6,2,2.70367,17435
6,2,3.89918,25277
6,2,8.41736,54261
6,2,6.33242,41200
6,2,1.3083,8466
6,2,0.0915053,588
6,2,4.18132,26850
6,2,0.10816,691
6,2,7.06768,45365
6,2,2.22476,14364
6,2,1.12639,7251
6,2,7.53163,48629
6,2,1.8723,12151
6,2,0.756992,4916
6,2,8.96928,57712
6,2,8.49002,54735
6,2,4.13336,26660
6,2,3.32812,21358
6,2,0.660876,4298
6,2,2.38634,15339
6,2,0.0283888,179
6,2,0.471105,3084
6,2,0.0400003,252
6,2,1.4365,9276
6,2,5.30087,34052
6,2,8.61824,55865
6,2,0.18393,1174
6,2,1.75191,11424
6,2,8.77701,56736
6,2,0.0216362,127
6,2,5.15893,33045
6,2,0.0521775,325
6,2,0.0621158,390
6,2,4.05377,26309
6,2,8.15914,52850
6,2,0.42597,2745
6,2,2.10757,13662
6,2,0.983125,6394
6,2,5.45935,35294
6,2,8.77436,56580
6,2,2.30965,14960
6,2,0.0360072,226
6,2,2.94322,18733
6,2,0.0222415,143
6,2,2.09286,13402
6,2,4.16091,26625
6,3,3.56683,22811
6,3,0.71405,4523
6,3,0.319898,2023
6,3,0.559702,3548
6,3,0.210261,1380
6,3,2.86502,18141
6,3,0.640256,4051
6,3,0.29673,1878
6,3,6.52854,41261
6,3,1.07938,6882
6,3,9.5788,60915
6,3,6.05944,38338
6,3,8.40292,53345
6,3,0.0257687,161
6,3,5.65136,35758
6,3,3.96411,25208
6,3,3.10547,19675
6,3,4.8554,30566
6,3,4.59566,29109
6,3,2.872,17988
6,3,0.577889,3624
6,3,0.453525,2859
6,3,6.86006,43592
6,3,1.38431,8790
6,3,0.76799,4907
6,3,6.97573,44142
6,3,6.93386,43850
6,3,0.121525,763
6,3,7.53555,47840
6,3,1.18977,7526
6,3,1.5379,9829
6,3,3.73426,23724
6,3,1.37511,8773
6,3,7.54426,47946
6,3,4.42099,27954
6,3,3.14635,19959
6,3,4.33611,27451
6,3,5.11639,32299
6,3,3.64844,23272
6,3,5.31241,33693
6,3,5.938,37609
6,3,5.3425,33802
6,3,8.15548,51597
6,3,8.80912,55967
6,3,5.76649,36663
6,3,10.6783,67841
6,3,1.76588,11162
6,3,3.26083,20503
6,3,0.318775,2006
6,3,5.20285,32890
6,4,2.69774,16659
6,4,4.56557,28154
6,4,1.43934,8796
6,4,7.02519,43255
6,4,7.16564,44004
6,4,5.6565,34931
6,4,4.16544,25550
6,4,0.217252,1341
6,4,9.43985,58286
6,4,0.614017,3777
6,4,8.79534,54037
6,4,7.85541,48310
6,4,18.4385,113295
6,4,21.3722,131342
6,4,1.57322,9670
6,4,5.90411,36353
6,4,2.75765,16869
6,4,7.89106,48598
6,4,1.49648,9195
6,4,1.89146,11599
6,4,13.0897,80542
6,4,14.7895,90799
6,4,0.217478,1345
6,4,6.70865,41445
6,4,7.32046,44981
6,4,8.17093,50125
6,4,3.13476,19273
6,4,4.77154,29399
6,4,9.4814,58269
6,4,10.7464,65568
6,4,4.63089,28259
6,4,5.6531,34777
6,4,3.92566,24047
6,4,0.645911,4015
6,4,7.59622,46986
6,4,0.302472,1851
6,4,12.6241,77694
6,4,3.638,22334
6,4,14.4624,88974
6,4,2.32068,14201
6,4,2.07545,12869
6,4,2.29498,14103
6,4,8.95912,54971
6,4,0.340947,2081
6,4,9.71673,59771
6,4,5.52572,33929
6,4,4.35544,26774
6,4,13.29,81811
6,4,18.884,116336
6,4,19.7605,121577
6,5,6.71172,40279
6,5,5.23827,31517
6,5,0.363463,2177
6,5,5.16175,30779
6,5,6.69333,40143
6,5,19.1426,115041
6,5,6.58119,39387
6,5,11.2352,67327
6,5,5.53224,33075
6,5,2.85391,17073
6,5,10.8458,65245
6,5,0.0505871,299
6,5,5.25803,31637
6,5,5.50982,33089
6,5,7.1625,43017
6,5,10.9167,65309
6,5,9.1101,54755
6,5,5.53569,33181
6,5,17.199,102880
6,5,31.2311,188268
6,5,6.02145,36041
6,5,6.69431,40112
6,5,0.0806229,481
6,5,15.2259,91286
6,5,16.3015,97655
6,5,7.17582,43188
6,5,6.50637,38979
6,5,3.02364,17999
6,5,11.9121,71177
6,5,8.97232,53670
6,5,2.36913,14151
6,5,4.03327,23991
6,5,9.43143,55986
6,5,9.37424,56005
6,5,5.5975,33292
6,5,6.4419,38760
6,5,6.04284,36119
6,5,6.28838,37744
6,5,5.47028,32782
6,5,3.55605,21140
6,5,2.03784,12185
6,5,0.0380959,232
6,5,5.88616,34996
6,5,7.01237,41975
6,5,5.39684,32168
6,5,11.4364,68194
6,5,5.93974,35590
6,5,15.585,93666
6,5,5.16024,30898
6,5,4.79375,28471
6,6,5.07567,29500
6,6,10.0637,58554
6,6,5.48745,31891
6,6,7.70118,44819
6,6,11.1849,64905
6,6,19.3838,112665
6,6,8.07507,46985
6,6,6.34488,36982
6,6,0.204093,1193
6,6,4.06646,23847
6,6,18.2714,106494
6,6,7.13331,41755
6,6,10.976,64083
6,6,6.60193,38231
6,6,5.4339,31683
6,6,9.85996,57254
6,6,7.80598,45429
6,6,0.0352383,205
6,6,30.7112,176833
6,6,8.52998,49434
6,6,3.51052,20322
6,6,4.38411,25376
6,6,8.1036,46835
6,6,7.27118,42419
6,6,6.25526,36576
6,6,4.73621,27779
6,6,13.4496,78527
6,6,6.04979,34970
6,6,0.0279668,155
6,6,9.07703,52768
6,6,9.28266,54594
6,6,13.686,79647
6,6,0.490577,2857
6,6,9.92081,57852
6,6,3.60736,20954
6,6,5.70037,33190
6,6,6.5047,37975
6,6,5.91902,34354
6,6,14.3563,83792
6,6,10.7443,62625
6,6,16.0873,93547
6,6,11.9846,69611
6,6,5.36455,31245
6,6,9.41312,54591
6,6,5.51925,32221
6,6,4.57574,26735
6,6,10.4672,60996
6,6,6.81111,39462
6,6,11.463,66369
6,6,0.0662031,392
7,2,0.524165,3378
7,2,1.61265,10443
7,2,4.39537,28073
7,2,3.76576,23931
7,2,0.396719,2539
7,2,0.112838,712
7,2,2.46774,15878
7,2,7.97717,50906
7,2,2.07986,13389
7,2,1.08852,6921
7,2,6.38136,40895
