type,cpu,time,iterations
0,4,2.29454,11493
1,4,18.7733,125884
0,4,0.0214738,0
1,4,2.35891,16570
0,4,14.2795,91271
1,4,0.641703,4000
0,6,14.1619,52480
1,6,22.753,85517
0,6,44.7125,145817
1,6,14.4753,63045
0,6,14.73,46907
1,6,3.3844,12986
0,6,36.5999,125596
1,6,17.1751,73113
0,6,13.2267,41418
1,6,46.6554,231389
0,8,19.007,51194
1,8,8.37113,22637
0,8,0.0990362,49
1,8,4.24351,11669
0,8,15.2619,40926
1,8,59.0348,159600
0,8,2.26653,5971
1,8,1.1751,3224
0,8,3.74639,9517
1,8,13.936,36930
0,12,15.2829,41045
1,12,0.0694557,0
0,12,0.563467,1130
1,12,1.65123,4907
0,12,4.61528,13381
1,12,0.732969,1365
0,12,5.02801,14693
1,12,29.6213,84148
0,12,0.0300888,0
1,12,0.136991,134
0,16,1.15941,2752
1,16,2.77041,6929
0,16,15.0731,37284
1,16,5.34595,12837
0,16,0.24104,611
1,16,9.29654,23278
0,16,0.0968182,159
1,16,5.57221,14658
0,16,3.21329,7893
1,16,14.2953,35770
0,24,6.01556,10352
1,24,0.761604,1366
0,24,3.99221,6870
1,24,20.1464,35566
0,24,0.108952,152
1,24,0.656187,1157
0,24,30.2354,52048
1,24,0.0424069,0
0,24,0.0150342,25
1,24,1.42812,2484
0,32,2.35898,2820
1,32,41.4888,55470
0,32,6.03521,7942
1,32,1.94022,2412
0,32,1.27436,1285
1,32,5.64154,7056
0,32,1.46013,1859
1,32,0.433896,187
0,32,0.592021,103
1,32,1.23318,1708
0,0,4.68253,56963
1,0,0.243526,2993
0,0,12.8595,156263
1,0,0.415333,5539
0,0,0.203717,2084
1,0,0.707927,9034
0,0,5.54935,73056
1,0,0.572118,6894
0,0,15.7011,186931
1,0,0.437058,5220
0,1,34.4644,257939
1,1,67.1342,539353
0,1,90.8642,702349
1,1,14.882,116038
0,1,19.5796,148247
1,1,59.3125,484775
0,1,-513.018,3926678
1,1,0.147539,554
0,1,0.127287,816
1,1,13.9299,114925
0,2,149.317,1085020
1,2,0.510118,3953
0,2,13.1264,99137
1,2,0.359589,2000
0,2,30.1737,211174
1,2,0.845888,6787
0,2,7.06529,55988
1,2,0.106352,0
0,2,0.501902,4000
1,2,11.4436,83174
0,4,9.64515,57333
1,4,0.389751,3214
0,4,0.163976,1000
1,4,0.285359,705
0,4,0.540094,3382
1,4,3.6179,24761
0,4,15.3021,104588
1,4,2.41997,16395
0,4,0.0842623,262
1,4,1.21568,8473
0,6,4.45477,14561
1,6,14.2351,72895
0,6,0.850045,2811
1,6,12.6945,54571
0,6,0.118781,0
1,6,0.584181,2496
0,6,1.4131,4444
1,6,2.94933,9677
0,6,0.844742,2866
1,6,11.5805,56542
0,8,3.44123,9765
1,8,9.10856,29579
0,8,6.30505,15956
1,8,1.72772,7322
0,8,0.622017,1343
1,8,1.85917,5383
0,8,1.7448,4510
1,8,23.8456,69763
0,8,1.03378,2638
1,8,0.929516,1754
0,12,72.4594,192702
1,12,28.5603,78961
0,12,0.626336,1770
1,12,1.14641,3080
0,12,0.0476243,30
1,12,5.73567,17401
0,12,5.49379,15968
1,12,2.76734,8344
0,12,6.21726,17821
1,12,0.928753,2596
0,0,3.50439,48138
1,0,10.6778,131428
0,0,0.318126,3861
1,0,32.3216,421912
0,0,61.1092,784318
1,0,5.39168,70040
0,0,17.8756,219604
1,0,2.28569,30664
0,0,67.9654,868024
1,0,44.3617,578538
0,1,0.138413,1000
1,1,32.092,250331
0,1,72.1279,566256
1,1,17.941,139897
0,1,21.9031,171274
1,1,0.427061,3743
0,1,0.546954,3978
1,1,92.9253,741138
0,1,0.0727529,659
1,1,11.2982,90773
0,2,129.721,958761
1,2,7.28679,52521
0,2,30.3374,215881
1,2,169.398,1298302
0,2,0.0382891,55
1,2,29.7348,223066
0,2,12.7296,91895
1,2,18.5176,141142
0,2,0.884685,7289
1,2,8.1522,66052
0,4,6.71311,43056
1,4,19.8795,133829
0,4,4.18741,22015
1,4,0.945336,6115
0,4,23.477,152517
1,4,4.83486,30663
0,4,46.427,282701
1,4,3.94183,27233
0,4,0.154534,1000
1,4,0.270664,825
0,6,2.09736,8011
1,6,1.41905,4474
0,6,20.933,107735
1,6,5.08758,27699
0,6,11.2121,49238
1,6,5.50282,18722
0,6,44.3912,144383
1,6,37.1939,122382
0,6,30.3711,94912
1,6,0.703887,2095
0,8,23.3554,60385
1,8,1.65728,4392
0,8,5.08814,12938
1,8,23.2225,62804
0,8,1.65391,3831
1,8,5.64005,14407
0,8,4.59519,12646
1,8,1.42209,3381
0,8,0.0247685,0
1,8,2.12841,6351
0,12,0.929897,2701
1,12,9.31476,27316
0,12,0.56658,1000
1,12,0.814908,2394
0,12,7.98878,22770
1,12,0.952988,2986
0,12,1.60388,4559
1,12,2.08369,6367
0,12,3.09249,8996
1,12,2.81644,8469
0,16,0.667322,1000
1,16,2.52922,6435
0,16,16.3113,40103
1,16,0.345578,107
0,16,22.589,55346
1,16,4.76421,11920
0,16,0.468035,705
1,16,14.5622,36523
0,16,6.13159,15014
1,16,10.9681,27205
0,24,10.889,18486
1,24,0.694856,1214
0,24,0.13745,0
1,24,0.638188,441
0,24,15.4071,26143
1,24,4.91339,8598
0,24,12.3744,21094
1,24,0.615227,449
0,24,9.71846,16656
1,24,0.878516,1542
0,32,2.18713,2408
1,32,11.8861,16444
0,32,8.51673,10531
1,32,5.51602,7442
0,32,18.1958,23537
1,32,8.48377,11595
0,32,4.93743,6658
1,32,0.00523511,0
0,0,35.0052,439145
1,0,0.0135302,85
0,0,7.75972,97643
1,0,4.7984,56675
0,0,58.4478,735773
1,0,20.8647,273876
0,0,271.099,3383338
1,0,1.37796,18256
0,0,0.0109691,0
1,0,28.03,360608
0,1,0.83062,8264
1,1,3.52491,27190
0,1,45.4976,348734
1,1,24.7594,204548
0,1,0.673203,5085
1,1,8.91697,69059
0,1,12.6996,99498
1,1,54.4531,438625
0,1,22.0375,163769
1,1,1.6376,14522
0,2,0.133248,1000
1,2,26.4173,190274
0,2,0.299252,2237
1,2,10.4024,73417
0,2,0.141619,397
1,2,0.315466,2000
0,2,0.00921417,0
1,2,0.328456,2178
0,2,3.9357,27539
1,2,0.0627851,53
0,4,7.42265,43216
1,4,9.81578,56604
0,4,1.53348,10817
1,4,10.7338,69657
0,4,0.156452,499
1,4,1.59506,9310
0,4,10.4072,64259
1,4,0.571365,1922
0,4,1.29178,6535
1,4,4.73056,30463
0,6,0.865616,3257
1,6,8.34834,26396
0,6,5.80487,18107
1,6,16.6821,56538
0,6,4.66669,24458
1,6,1.7835,9674
0,6,0.0780871,0
1,6,10.6673,35812
0,6,13.9627,50117
1,6,32.0079,120643
0,8,7.45471,18978
1,8,2.01625,5147
0,8,1.60931,4057
1,8,7.01078,19163
0,8,0.0781232,60
1,8,0.318688,0
0,8,1.82482,5329
1,8,24.9956,66086
0,8,4.57335,11709
1,8,1.98625,5352
0,12,1.63105,4590
1,12,2.69928,8161
0,12,17.8687,48024
1,12,0.518122,1318
0,12,0.120446,286
1,12,10.3861,30523
0,12,0.24119,0
1,12,9.00043,26335
0,12,44.2353,118862
1,12,2.88775,8199
0,16,5.30916,13100
1,16,4.22038,10571
0,16,5.94156,14219
1,16,7.70995,19272
0,16,8.18989,19351
1,16,7.47469,19363
0,16,1.24875,2963
1,16,1.64829,4168
0,16,1.77617,4442
1,16,7.9973,19762
0,24,3.69983,6241
1,24,2.10303,3737
0,24,1.39184,2395
1,24,6.75339,11735
0,24,5.6789,9444
1,24,2.13533,3700
0,24,3.34899,5671
1,24,8.96766,15713
0,24,2.8716,4885
1,24,0.397311,233
0,32,9.83208,12611
1,32,0.661015,439
0,32,0.18223,0
1,32,3.05065,4068
0,32,1.7837,2298
1,32,3.15447,4251
0,32,2.81447,3394
1,32,68.9437,92910
0,32,0.411045,0
1,32,11.472,15374
0,0,13.7007,181111
1,0,2.29938,31017
0,0,2.10934,28238
1,0,18.3224,237758
0,0,0.668526,9263
1,0,69.4613,879759
0,0,1.86019,22782
1,0,40.327,517302
0,0,1.66663,23483
1,0,0.162907,2131
0,1,0.257626,2000
1,1,26.1378,199624
0,1,110.3,842747
1,1,11.4271,87160
0,1,0.729179,5699
1,1,9.70107,83279
0,1,0.657206,5513
1,1,53.8458,412985
0,1,20.9694,168201
1,1,8.62139,70388
0,2,0.951237,7350
1,2,2.42864,17640
0,2,15.4495,108825
1,2,0.0310542,234
0,2,0.432863,4172
1,2,0.0161326,0
0,2,10.0134,80808
1,2,12.4095,90284
0,2,0.0857835,0
1,2,0.376473,3000
0,4,1.07559,5860
1,4,10.0068,65478
0,4,11.3188,72865
1,4,0.988493,5880
0,4,11.1902,71523
1,4,36.2532,232402
0,4,0.683469,3576
1,4,17.9987,117680
0,4,29.0401,181749
1,4,16.4001,109878
0,6,6.13105,18842
1,6,6.79925,25833
0,6,0.31583,1133
1,6,50.6703,197316
0,6,1.22447,4620
1,6,1.67963,9025
0,6,42.2679,136802
1,6,8.34789,37110
0,6,0.174794,905
1,6,2.37086,7437
0,8,28.964,77274
1,8,1.55178,4205
0,8,0.356672,38
1,8,2.75904,7009
0,8,18.8929,49311
1,8,3.30151,10197
0,8,3.78533,11275
1,8,5.76893,15278
0,8,1.57997,3292
1,8,15.2287,39972
0,12,1.10774,2939
1,12,11.3254,32622
0,12,8.535,24180
1,12,1.04886,3123
